City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
155,Grand Gaube,MU,72.0,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
156,La Libertad,EC,76.66,scattered clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
164,Reitz,ZA,70.92,overcast clouds,-27.8014,28.4273,The Lillies Guesthouse
166,Bilma,NE,88.93,clear sky,18.6853,12.9164,Expeditions Ténére voyages
168,Angoche,MZ,75.65,clear sky,-16.2325,39.9086,Guest House HESADA
175,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
178,Bandarbeyla,SO,79.18,overcast clouds,9.4942,50.8122,JABIR HOTEL
183,Clinton,US,74.21,broken clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
184,Provost,CA,70.25,scattered clouds,52.3501,-110.2683,Canalta Hotel Provost
185,Rodeo,US,74.32,smoke,38.033,-122.2669,Captain's Cottage
186,Sibolga,ID,76.03,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
187,Bengkulu,ID,75.38,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
188,Portales,US,85.01,overcast clouds,34.1862,-103.3344,"Holiday Inn Express & Suites Portales, an IHG Hotel"
189,Bontang,ID,76.73,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
191,Caravelas,BR,76.77,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
193,Boyolangu,ID,73.9,broken clouds,-8.1181,111.8935,Yos ega cv
194,Carutapera,BR,84.99,broken clouds,-1.195,-46.02,Lidera
198,Maldonado,UY,70.23,clear sky,-34.6667,-54.9167,La Cimarrona
206,Traverse City,US,70.84,broken clouds,44.7631,-85.6206,Bayshore Resort
212,Puerto Del Rosario,ES,76.68,few clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
213,Ouro Branco,BR,74.43,broken clouds,-20.5208,-43.6919,Hotel Verdes Mares
216,Ambilobe,MG,71.76,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
218,Thoen,TH,72.52,light rain,17.6129,99.2161,Nakornthoen Hotel
220,Tiznit,MA,77.58,clear sky,29.5833,-9.5,
223,Mount Isa,AU,71.37,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
232,Laurel,US,76.5,clear sky,39.0993,-76.8483,Days Inn & Suites by Wyndham Laurel Near Fort Meade
233,Luau,AO,73.67,broken clouds,-10.7073,22.2247,Casa- Bernardo Cândido
234,Kieta,PG,78.62,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
243,Dingle,PH,75.78,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
