City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
269,Akdepe,TM,42.0551,59.3788,55.4,65,6,10.69,clear sky
270,Daru,PG,-9.0763,143.2092,77.22,90,100,14.07,overcast clouds
271,Saran,FR,47.9501,1.876,64.92,91,75,5.75,broken clouds
272,Volchikha,RU,52.0333,80.3833,28.38,82,5,5.06,clear sky
273,Banjarmasin,ID,-3.3244,114.591,75.34,93,65,1.92,broken clouds
274,Ulaanbaatar,MN,47.9077,106.8832,30.33,80,0,2.24,clear sky
275,Pitimbu,BR,-7.4706,-34.8086,81.19,81,39,17.11,scattered clouds
276,Novy Bydzov,CZ,50.2415,15.4908,68.58,75,21,6.87,few clouds
277,San Cristobal,VE,7.7669,-72.225,93.38,39,76,8.57,broken clouds
278,Clyde River,CA,70.4692,-68.5914,29.86,80,18,6.8,few clouds
279,Port Moresby,PG,-9.4431,147.1797,76.42,94,20,11.5,few clouds
280,Nanortalik,GL,60.1432,-45.2371,39.56,68,10,4.59,clear sky
281,Margate,GB,51.3813,1.3862,64.69,90,100,13.73,overcast clouds
282,Katsuura,JP,35.1333,140.3,66.31,74,53,13.27,broken clouds
283,Trat,TH,12.5,102.5,79.99,94,100,2.04,overcast clouds
284,Mnogovershinnyy,RU,53.9353,139.9242,37.42,74,76,1.59,broken clouds
285,Forestville,US,38.8451,-76.875,76.32,40,1,11.5,clear sky
286,Paamiut,GL,61.994,-49.6678,35.92,50,7,5.53,clear sky
287,Khandyga,RU,62.6667,135.6,31.06,93,16,1.83,few clouds
288,Toora-Khem,RU,52.4675,96.11,28.71,96,100,4.27,overcast clouds
289,Bathsheba,BB,13.2167,-59.5167,86.61,70,40,8.05,scattered clouds
290,Palu,ID,-0.8917,119.8707,75.42,97,99,2.95,overcast clouds
291,Ligayan,PH,4.6533,119.4706,83.21,73,26,5.21,scattered clouds
292,Khonsa,IN,27.0167,95.5667,70.36,79,90,4.25,overcast clouds
293,San Quintin,MX,30.4833,-115.95,71.94,65,9,10.83,clear sky
294,Neryungri,RU,56.6709,124.6491,48.65,92,100,18.48,moderate rain
295,Naples,IT,40.8333,14.25,78.51,83,0,3.44,clear sky
296,Buchanan,LR,5.8808,-10.0467,80.56,91,100,8.7,moderate rain
297,Bubaque,GW,11.2833,-15.8333,83.48,74,100,9.53,overcast clouds
298,Narsaq,GL,60.9167,-46.05,44.82,46,0,2.26,clear sky
299,Chaiya,TH,9.3862,99.1986,76.62,91,100,2.15,overcast clouds
300,Saint-Francois,FR,46.4154,3.9054,60.24,89,0,3.44,clear sky
301,Chokurdakh,RU,70.6333,147.9167,28.58,85,100,15.9,overcast clouds
302,Kuching,MY,1.55,110.3333,77.22,94,40,1.14,scattered clouds
303,Gulbarga,IN,17.3333,76.8333,75.43,85,100,6.62,overcast clouds
304,Lorengau,PG,-2.0226,147.2712,80.65,82,100,8.34,overcast clouds
305,Padang,ID,-0.9492,100.3543,76.14,95,100,2.26,overcast clouds
306,The Pas,CA,53.8251,-101.2541,64.42,48,1,6.91,clear sky
307,Sioux Lookout,CA,50.1001,-91.917,64.78,48,40,0.0,scattered clouds
308,Kirakira,SB,-10.4544,161.9205,77.56,86,87,7.65,overcast clouds
309,Sola,VU,-13.8833,167.55,75.87,94,75,5.75,broken clouds
310,Ulaangom,MN,49.9811,92.0667,35.98,48,89,16.04,overcast clouds
311,Bilgoraj,PL,50.5411,22.722,60.66,79,78,6.4,broken clouds
312,Batesville,US,35.7698,-91.641,86.95,41,1,5.75,clear sky
313,Bridgend,GB,51.5058,-3.5772,65.84,79,96,3.0,overcast clouds
314,Acurenam,GQ,1.0322,10.6488,68.94,97,100,3.33,overcast clouds
315,Porto Seguro,BR,-16.4497,-39.0647,77.52,73,40,11.5,scattered clouds
316,Standish,US,43.9831,-83.9589,67.89,61,100,9.28,overcast clouds
317,Cossato,IT,45.5739,8.1817,66.81,91,22,3.62,few clouds
318,Champerico,GT,14.3,-91.9167,90.14,71,94,7.16,overcast clouds
319,Gedzhukh,RU,42.1279,48.0647,58.93,66,0,7.23,clear sky
320,Roros,NO,62.5747,11.3842,51.64,62,20,9.22,few clouds
321,Salalah,OM,17.0151,54.0924,84.29,84,75,8.05,broken clouds
322,Torbay,CA,47.6666,-52.7314,63.68,59,75,12.66,broken clouds
323,Soure,BR,-0.7167,-48.5233,82.76,69,92,14.5,overcast clouds
324,Kochki,RU,54.3358,80.4806,33.55,91,94,5.37,overcast clouds
325,Young,UY,-32.6833,-57.6333,78.22,49,0,4.47,clear sky
326,Rocha,UY,-34.4833,-54.3333,69.35,64,2,7.11,clear sky
327,Flin Flon,CA,54.7682,-101.865,58.84,63,20,8.05,few clouds
328,Opuwo,NA,-18.0607,13.84,75.07,30,1,8.66,clear sky
329,San Juan Bautista,PE,-14.0108,-75.7358,61.43,38,96,13.15,overcast clouds
330,Waipawa,NZ,-41.4122,175.5153,43.03,93,97,10.0,light rain
331,Salinas,US,36.6777,-121.6555,75.52,71,40,0.0,scattered clouds
332,Seoul,KR,37.5683,126.9778,69.24,70,0,8.05,clear sky
333,Sulangan,PH,11.1373,123.7228,83.41,72,70,3.83,broken clouds
334,Passo De Camaragibe,BR,-9.2368,-35.4901,85.55,85,20,7.9,few clouds
335,Ahuimanu,US,21.4447,-157.8378,82.11,71,75,10.36,broken clouds
336,Cockburn Town,TC,21.4612,-71.1419,82.98,70,3,4.54,clear sky
337,Gilgit,PK,35.9221,74.3087,76.57,32,0,1.5,clear sky
338,Sorland,NO,67.667,12.6934,53.46,95,100,25.3,overcast clouds
339,Sitka,US,57.0531,-135.33,49.89,76,40,6.91,scattered clouds
340,Khatanga,RU,71.9667,102.5,32.09,86,100,8.14,overcast clouds
341,Santa Cruz,BO,-17.8,-63.1667,95.05,38,20,21.85,smoke
342,Cayenne,GF,4.9333,-52.3333,89.64,72,88,5.99,overcast clouds
343,Flinders,AU,-34.5833,150.8552,53.19,86,92,1.01,overcast clouds
